Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.38,1.576681927,169.7464353,-119.5318044,1.36,2.077403103,224.7031214,-124.6140003,1.15,2.06385686,230.8167487,-143.4282576
1.37,1.418877217,182.0746345,-119.1583321,1.38,1.310891677,198.6400446,-106.2849193,1.16,1.367330521,221.4769096,-144.5808645
1.36,1.926943734,165.9533666,-109.8606131,1.43,1.446597012,206.0600449,-104.4826224,1.16,1.468256655,229.4233396,-137.0164046
1.39,1.536882363,181.917413,-114.1620116,1.4,1.416768143,217.655549,-102.1973941,1.15,1.401053775,226.2321869,-135.8369698
1.35,1.344857661,184.1826846,-125.701768,1.35,1.078157373,224.849366,-114.1488022,1.16,1.117849278,235.6553676,-137.8356596
1.3,1.491745409,177.496196,-124.727756,1.34,1.402314914,219.3209099,-130.1268375,1.15,1.506401329,211.1098521,-136.6010616
1.26,1.564603282,160.9217034,-97.47352305,1.37,1.895995047,216.963766,-125.1641097,1.18,2.217685203,211.290974,-139.3715298
1.32,1.674003525,178.7439521,-127.3499299,1.36,1.384280965,189.0073778,-134.1326112,1.15,1.371881457,227.2715148,-141.7357142
1.36,1.392165502,199.7706852,-105.0347267,1.34,1.23538884,207.5564392,-120.4688727,1.13,1.444482921,223.8824181,-146.2947053
1.35,1.387996743,207.6608415,-107.879957,1.31,1.537189769,219.1354421,-130.7829355,1.15,1.536795649,224.5753559,-134.7226119
1.33,1.193599481,198.3138755,-109.3136471,1.33,0.836532983,221.3148374,-127.5221818,1.16,0.926867515,237.4777841,-142.0321068
1.43,1.478724636,185.8344992,-107.316089,1.34,1.036823495,212.918256,-119.320564,1.17,1.008705257,230.5889529,-138.6829746
1.36,1.659264094,165.9936735,-114.4989887,1.39,1.892720814,207.749662,-132.0312368,1.19,2.05748931,213.235022,-125.6679965
1.3,1.728125262,190.9657174,-133.2887561,1.29,1.346825579,213.9315491,-139.854122,1.13,1.407496042,215.899488,-118.5790934
1.4,1.583981617,180.2516697,-97.05716089,1.29,1.37893511,233.6488793,-136.9077031,1.14,1.660941061,214.2657192,-123.6511618
1.36,1.800941589,180.523038,-112.6733763,1.33,1.696247224,222.8774067,-128.3171737,1.15,2.014642713,225.7887173,-124.8727561
1.31,1.851133324,205.7333797,-120.9598589,1.3,1.69072639,218.5830506,-129.4773982,1.18,1.923411897,212.9269637,-134.9910502
1.36,1.549224254,182.3910166,-121.9417798,1.33,1.592826669,204.4763885,-125.774378,1.15,1.774781609,226.7305662,-139.8564624
