F1,F2,F3,F4,
1.15,1.964299582,283.2793113,-155.285067,plantar
1.14,1.983732055,285.7759699,-149.6186776,plantar
1.13,1.779007357,292.7006301,-146.541157,plantar
1.15,1.397121241,287.4786495,-152.9862281,plantar
1.16,2.132383585,288.4583705,-155.1640706,plantar
1.13,2.330504843,290.0853196,-157.2578437,plantar
1.15,1.488829817,273.3422881,-151.905736,plantar
1.14,1.211647418,273.8235767,-147.168817,plantar
1.18,1.785016849,254.2093291,-145.1878069,plantar
1.17,2.261181236,265.7885009,-151.4743562,plantar
1.17,1.948622145,270.7563202,-161.8653891,plantar
1.16,2.021697883,272.0077671,-158.4289499,plantar
1.16,1.651214505,280.6113051,-153.1037473,plantar
1.14,1.836383324,285.6136274,-151.4812389,plantar
1.15,1.541787922,281.2352782,-147.010181,plantar
1.15,1.944088522,279.6745428,-140.3497621,plantar
